IDENTIFIER,time,NumAliphaticRings,SMR_VSA10,FpDensityMorgan3,fr_phenol,fr_ester,fr_isocyan,NumHeteroatoms,HeavyAtomCount,fr_hdrzone,RingCount,BertzCT,Chi3v,Chi3n,TPSA,EState_VSA2,fr_halogen,NumAromaticRings,MinAbsEStateIndex,MinEStateIndex,SlogP_VSA5,fr_Imine,fr_Al_COO,SMR_VSA9,fr_aniline,SMR_VSA8,fr_nitroso,PEOE_VSA2,fr_Ar_OH,fr_oxime,fr_nitro_arom,fr_NH2,EState_VSA4,fr_furan,SlogP_VSA1,fr_amidine,PEOE_VSA10,Kappa1,fr_quatN,EState_VSA11,SlogP_VSA12,NumHAcceptors,fr_pyridine,Kappa3,EState_VSA1,Chi4v,Chi1,SlogP_VSA2,fr_allylic_oxid,SlogP_VSA8,fr_ketone_Topliss,fr_benzodiazepine,Chi2v,FpDensityMorgan1,fr_nitrile,PEOE_VSA13,fr_Ar_COO,qed,fr_thiophene,PEOE_VSA14,SMR_VSA5,MolWt,Chi1v,NumRadicalElectrons,VSA_EState8,fr_NH0,fr_lactam,Chi0,SlogP_VSA7,MaxPartialCharge,PEOE_VSA5,MolLogP,VSA_EState4,fr_Ar_N,fr_N_O,SlogP_VSA4,fr_C_O,fr_lactone,fr_thiazole,PEOE_VSA6,fr_priamide,fr_sulfide,MinAbsPartialCharge,NumAliphaticHeterocycles,fr_Al_OH,VSA_EState7,VSA_EState6,EState_VSA5,NumAromaticHeterocycles,fr_phenol_noOrthoHbond,SlogP_VSA10,NumRotatableBonds,fr_ketone,SlogP_VSA9,PEOE_VSA7,VSA_EState9,fr_isothiocyan,PEOE_VSA3,SMR_VSA7,fr_prisulfonamd,fr_imidazole,Chi0n,fr_sulfonamd,MaxEStateIndex,Chi1n,SlogP_VSA6,fr_aryl_methyl,SMR_VSA3,MinPartialCharge,fr_Ar_NH,fr_SH,BalabanJ,NumSaturatedRings,fr_NH1,fr_azide,fr_hdrzine,fr_aldehyde,EState_VSA7,fr_bicyclic,SMR_VSA6,fr_Ndealkylation2,HallKierAlpha,fr_thiocyan,PEOE_VSA11,fr_Al_OH_noTert,NumHDonors,fr_sulfone,SlogP_VSA3,NumSaturatedCarbocycles,fr_dihydropyridine,fr_phos_acid,fr_oxazole,VSA_EState10,fr_HOCCN,fr_para_hydroxylation,SMR_VSA2,VSA_EState3,LabuteASA,fr_imide,HeavyAtomMolWt,fr_ArN,fr_epoxide,fr_azo,PEOE_VSA12,fr_urea,fr_phos_ester,EState_VSA6,PEOE_VSA9,NumValenceElectrons,fr_term_acetylene,fr_unbrch_alkane,fr_barbitur,SMR_VSA4,SMR_VSA1,fr_nitro,PEOE_VSA1,NOCount,Chi0v,Ipc,PEOE_VSA8,VSA_EState2,fr_Ndealkylation1,fr_diazo,NHOHCount,fr_amide,fr_piperzine,VSA_EState5,fr_guanido,fr_methoxy,fr_morpholine,EState_VSA8,fr_nitro_arom_nonortho,MaxAbsEStateIndex,VSA_EState1,EState_VSA9,EState_VSA10,fr_piperdine,NumAromaticCarbocycles,fr_COO,MolMR,fr_ether,fr_alkyl_halide,Chi2n,fr_C_O_noCOO,fr_benzene,Kappa2,fr_COO2,EState_VSA3,FpDensityMorgan2,SlogP_VSA11,MaxAbsPartialCharge,Chi4n,PEOE_VSA4,NumAliphaticCarbocycles,fr_Nhpyrrole,FractionCSP3,fr_tetrazole,fr_alkyl_carbamate,NumSaturatedHeterocycles,fr_C_S,ExactMolWt
LMGP01050041,150,0,13.79200241108402,1.6666666666666667,0,1,0,9,36,0,0,568.81564275807,7.071807521786064,6.107706605417346,105.12000000000002,19.183069217,0,0,0.00529009546205,-4.48770333835,116.07770478943283,0,0,0.0,0,0.0,0,9.35958546900315,0,0,0,0,19.2624648688,0,4.893411602752475,0,25.862486722686715,35.5,1,0.0,7.822697123132171,7,0,26.559861137173954,20.5335454754,4.502380056082301,17.0554606532,69.17124817571838,0,0.0,0,0,12.391096216996566,0.7777777777777778,0,7.822697123132171,0,0.06481141672516687,0,5.969305287951849,122.18167117718113,537.7190000000002,15.758388119240385,0,21.6732816384,1,0,27.1252632869,0.0,0.30537410358482336,0.0,5.749900000000006,0.0,0,0,0.0,1,0,0,103.2360615435808,0,0,0.30537410358482336,0,1,0.0,0.0,83.470681098,0,0,0.0,26,0,0.0,6.4208216229260096,60.6322739172,0,0.0,0.0,0,0,23.717723203390175,0,11.8146753147,14.29779463255994,0.0,0,0.0,-0.7561177957113612,0,0,3.50430351317,0,0,0,0,0,21.143015948,0,47.50841824748289,0,-0.5000000000000001,0,0.0,1,1,0,23.143942746226834,0,0,1,0,0.0,0,0,0.0,0.0,220.83778712637164,0,481.27100000000024,0,0,0,0.0,0,1,0.0,27.749897912544487,216,0,14,0,0.0,37.62691260151464,0,28.26732713251149,8,24.612150394390092,26583994.8578,6.4208216229260096,0.0,1,0,1,0,0,0.0,0,0,0,11.4474843614,0,11.8146753147,0.0,9.26061011551,19.3595244666,0,0,0,143.5386999999999,1,0,10.98027124650233,1,0,22.480839018725504,0,17.4486088865,1.2222222222222223,0.0,0.7561177957113612,3.76793789314889,0.0,0,0,0.9629629629629629,0,0,0,0,537.379439762
LMGP01050045,174,0,13.79200241108402,1.6216216216216217,0,1,0,9,37,0,0,583.3681962294005,7.321807521786064,6.357706605417345,105.12000000000002,19.183069217,0,0,0.00524197950785,-4.488670268,122.49852641235884,0,0,0.0,0,0.0,0,9.35958546900315,0,0,0,0,19.2624648688,0,4.893411602752475,0,25.862486722686715,36.5,1,0.0,7.822697123132171,7,0,28.330577777777776,20.5335454754,4.679156751378938,17.5554606532,69.17124817571838,0,0.0,0,0,12.744649607589839,0.7567567567567568,0,7.822697123132171,0,0.056568920833538226,0,5.969305287951849,128.60249280010714,551.7460000000002,16.258388119240383,0,21.6869842824,1,0,27.832370068,0.0,0.30537410358482336,0.0,6.140000000000007,0.0,0,0,0.0,1,0,0,109.65688316650682,0,0,0.30537410358482336,0,1,0.0,0.0,89.891502721,0,0,0.0,27,0,0.0,6.4208216229260096,62.1185712732,0,0.0,0.0,0,0,24.42482998457672,0,11.8272631832,14.79779463255994,0.0,0,0.0,-0.7561177957113612,0,0,3.48383226602,0,0,0,0,0,21.143015948,0,47.50841824748289,0,-0.5000000000000001,0,0.0,1,1,0,23.143942746226834,0,0,1,0,0.0,0,0,0.0,0.0,227.20272924076824,0,493.28200000000027,0,0,0,0.0,0,1,0.0,27.749897912544487,222,0,15,0,0.0,37.62691260151464,0,28.26732713251149,8,25.319257175576638,43358188.5989,6.4208216229260096,0.0,1,0,1,0,0,0.0,0,0,0,11.4474843614,0,11.8272631832,0.0,9.26061011551,19.3595244666,0,0,0,148.15569999999988,1,0,11.333824637095603,1,0,23.393148788927334,0,17.4486088865,1.1891891891891893,0.0,0.7561177957113612,3.944714588445527,0.0,0,0,0.9642857142857143,0,0,0,0,551.3950898259999
LMGP06050006,72,1,13.79200241108402,1.7380952380952381,0,1,0,13,42,0,1,889.0455330970475,7.388949057946316,6.403743549827459,203.44,6.42082162293,0,0,0.112268305722,-5.00046876471,71.13195342895074,0,0,0.0,0,0.0,0,13.842031507495456,0,0,0,0,25.6832864917,0,0.0,0,49.33464667875103,38.32481389578164,0,0.0,7.822697123132171,11,0,16.229576735530518,69.7335310543,4.898908811634367,19.996906899,97.44340990301252,8,0.0,0,0,11.51100964722142,0.7380952380952381,0,0.0,0,0.04277879159533804,0,13.79200241108402,113.85971814318884,620.6730000000006,15.99013824079926,0,21.3541099275,0,0,31.3822581208,0.0,0.47223522198521084,0.0,2.3565,0.0,0,0,0.0,1,0,0,68.37354130021369,0,0,0.4628227784284036,0,6,0.0,0.0,19.2624648688,0,0,0.0,21,0,0.0,44.94575136048208,92.951445628,0,4.565048284931329,48.60816085467105,0,0,24.264485628401935,0,12.1231430751,14.494693125788926,48.60816085467105,0,0.0,-0.4628227784284036,0,0,2.14834532466,1,0,0,0,0,12.1520402137,0,13.213763929025836,0,-1.7000000000000002,0,0.0,6,7,0,23.143942746226834,1,0,1,0,0.0,0,0,0.0,0.0,247.80479167707983,0,571.2810000000003,0,0,0,0.0,0,1,0.0,6.606881964512918,242,0,3,0,0.0,58.67651871802354,0,40.26943892559675,12,25.158912819401852,651898630.969,6.4208216229260096,0.0,0,0,7,0,0,0.0,0,0,0,52.4273521641,0,12.1231430751,0.0,4.7368629538,44.8921614408,0,0,0,156.0540999999999,1,0,10.104880702739775,1,0,21.905610843222416,0,12.8416432459,1.2142857142857142,0.0,0.47223522198521084,3.9205523437610594,0.0,1,0,0.6896551724137931,0,0,0,0,620.2961636379999
LMGP01010573,498,0,19.761307699035868,1.2307692307692308,0,2,0,10,52,0,0,865.4121336176894,10.591385840328336,9.627284923959614,111.19000000000001,32.0247124628,0,0,0.0257572730327,-4.61267129389,206.47212308716163,0,0,0.0,0,0.0,0,14.154122653074973,0,0,0,0,32.1041081146,0,4.893411602752475,0,19.75852033493841,51.010000000000005,1,0.0,7.822697123132171,8,0,38.72574308158354,26.5028507633,6.913607323998546,24.9873123058,70.03402606882952,0,0.0,0,0,17.488228073311692,0.5192307692307693,0,7.822697123132171,0,0.02625389871067126,0,11.938610575903699,212.57608947490994,762.1070000000001,23.20479995213242,0,22.9342872723,1,0,38.6021084927,0.0,0.3057658044200656,0.0,11.39199999999999,0.0,0,0,0.0,2,0,0,180.78883659545758,0,0,0.3057658044200656,0,0,0.0,0.0,141.258075704,0,0,0.0,40,0,0.0,12.841643245852019,87.0379349499,0,0.0,0.0,0,0,34.779394344243045,0,12.6488831395,21.744206465451967,0.0,0,0.0,-0.7561173385699724,0,0,4.32843623125,0,0,0,0,0,21.143015948,0,47.50841824748289,0,-0.9900000000000002,0,6.103966387748303,0,0,0,32.675342884098704,0,0,1,0,0.0,0,0,0.0,0.0,320.7927524196753,0,677.4350000000003,0,0,0,0.0,0,1,0.0,27.749897912544487,310,0,24,0,0.0,42.0517853445458,0,27.897662691470835,9,35.673821535242965,59011811418.1,12.841643245852019,0.0,1,0,0,0,0,0.0,0,0,0,13.8474743994,0,12.6488831395,0.0,18.521220231,19.0475342558,0,0,0,213.10689999999903,2,0,16.07740310281746,2,0,35.696080195708966,0,17.4486088865,0.8653846153846154,0.0,0.7561173385699724,6.184973765786783,0.0,0,0,0.9523809523809523,0,0,0,0,761.593455278
LMGP01010976,582,0,19.761307699035868,1.1428571428571428,0,2,0,10,56,0,0,927.332636248759,11.591385840328341,10.627284923959623,111.19,32.0247124628,0,0,0.0255147335038,-4.61719623798,232.1554095788657,0,0,0.0,0,0.0,0,14.154122653074971,0,0,0,0,32.1041081146,0,4.893411602752475,0,19.75852033493841,55.010000000000005,1,0.0,7.822697123132171,8,0,42.61139780570916,26.5028507633,7.620714105185092,26.9873123058,70.03402606882952,0,0.0,0,0,18.902441635684788,0.48214285714285715,0,7.822697123132171,0,0.02585811805727646,0,11.938610575903699,238.259375966614,818.214999999999,25.204799952132422,0,22.998662691,1,0,41.4305356174,0.0,0.3057658044200656,0.0,12.952399999999983,0.0,0,0,0.0,2,0,0,206.47212308716163,0,0,0.3057658044200656,0,0,0.0,0.0,166.941362196,0,0,0.0,44,0,0.0,12.841643245852019,92.9735595312,0,0.0,0.0,0,0,37.60782146898923,0,12.6917468254,23.744206465451978,0.0,0,0.0,-0.7561173385699724,0,0,4.26272414196,0,0,0,0,0,21.143015948,0,47.50841824748289,0,-0.99,0,6.103966387748303,0,0,0,32.675342884098704,0,0,1,0,0.0,0,0,0.0,0.0,346.2525208772615,0,725.4789999999997,0,0,0,0.0,0,1,0.0,27.749897912544487,334,0,28,0,0.0,42.051785344545806,0,27.897662691470835,9,38.50224865998915,412155995488.0,12.841643245852019,0.0,1,0,0,0,0,0.0,0,0,0,13.8474743994,0,12.6917468254,0.0,18.521220231,19.0475342558,0,0,0,231.57489999999888,2,0,17.491616665190552,2,0,39.46992698869442,0,17.4486088865,0.8035714285714286,0.0,0.7561173385699724,6.89208054697333,0.0,0,0,0.9565217391304348,0,0,0,0,817.6560555339998
LMGP02011213,510,0,19.761307699035868,1.2448979591836735,0,2,0,10,49,0,0,784.1273661870074,9.977311879855572,8.993089366488894,134.38,38.5694688687,0,0,0.0579220878147,-4.36313425686,206.47212308716163,0,0,0.0,0,0.0,0,18.636568691567277,0,0,0,1,32.1041081146,0,5.733667477162185,0,6.606881964512918,48.01,0,0.0,7.822697123132171,8,0,36.601394317053895,26.5028507633,6.694769436461866,23.8408656964,49.3013908658558,0,0.0,0,0,15.326998855191162,0.5306122448979592,0,0.0,0,0.0361327081565195,0,19.761307699035868,212.57608947490994,720.0259999999993,22.00745713257441,0,21.8580616408,0,0,36.1021084927,0.0,0.47185923902497584,0.0,11.276499999999992,0.0,0,0,0.0,2,0,0,180.78883659545758,0,0,0.46162817343596224,0,0,0.0,0.0,141.258075704,0,0,0.0,39,0,0.0,12.841643245852019,83.6141605814,0,4.565048284931329,0.0,0,0,31.948496322968804,0,12.5347715441,20.512012017564075,0.0,0,0.0,-0.46162817343596224,0,0,4.14251201569,0,0,0,0,0,0.0,0,26.36540229945133,0,-0.99,0,6.103966387748303,0,2,0,32.675342884098704,0,0,1,0,0.0,0,0,0.0,0.0,301.0680116166994,0,641.4019999999999,0,0,0,0.0,0,1,0.0,13.213763929025836,292,0,24,0,5.733667477162185,37.568754486851184,0,20.10080498751476,9,32.84292351396872,20847197335.0,19.386399651764595,0.0,0,0,3,0,0,0.0,0,0,0,13.8474743994,0,12.5347715441,0.0,24.2548877082,19.0475342558,0,0,0,201.48069999999925,2,0,13.873489531640248,2,0,36.78925643320408,0,6.42082162293,0.8775510204081632,0.0,0.47185923902497584,5.929453617439502,0.0,0,0,0.9487179487179487,0,0,0,0,719.5465050859999
LMSP03010002,282,0,13.729876852483677,1.7045454545454546,0,0,0,9,44,0,0,743.2204908009853,8.961449477703987,7.99734856133527,107.92000000000002,19.1209436584,0,0,0.00131198059247,-4.56650958757,155.10555010375353,0,0,0.0,0,0.0,0,9.35958546900315,0,0,0,0,38.5249297376,0,10.210200206758806,0,13.151638370425493,43.24,1,0.0,7.822697123132171,6,0,29.923667667793982,19.96850434,5.755292731972963,21.0041490582,68.54408148175307,1,0.0,0,0,14.996347126870821,0.7727272727272727,0,7.822697123132171,0,0.033007266135346054,0,0.0,167.2513573206498,646.9349999999997,19.511370755195,0,23.0032249355,1,0,32.9452542432,0.0,0.267653377303556,0.0,8.218100000000007,0.0,0,0,0.0,1,0,0,141.57430382571724,0,0,0.267653377303556,0,1,0.0,0.0,96.3123243439,0,0,0.0,32,0,0.0,19.26246486877803,71.6356639534,0,0.0,12.152040213667762,0,0,29.36995284524137,0,12.6784449169,18.050777268514555,12.152040213667762,0,5.316788604006331,-0.756118003205017,0,0,4.57469921794,0,1,0,0,0,27.2190360549,0,40.90153628296998,0,-0.76,0,0.0,1,2,0,18.407079792426785,0,0,1,0,0.0,0,0,0.0,0.0,271.5040379634613,0,575.3670000000002,0,0,0,5.907179729351506,0,1,6.07602010683,39.89570512944075,262,0,17,0,0.0,32.89004964771459,0,28.84725278271777,8,30.264380036241285,1230106788.55,6.4208216229260096,0.0,1,0,2,1,0,0.0,0,0,0,19.1642630034,0,12.6784449169,0.0,9.04749432342,19.3595244666,0,0,0,182.4093999999995,0,0,13.585522156376584,1,0,28.461773702787134,0,17.4486088865,1.2272727272727273,0.0,0.756118003205017,5.032324595212784,0.0,0,0,0.9142857142857143,0,0,0,0,646.504974622
LMGP01050018,102,0,13.79200241108402,1.8181818181818181,0,1,0,9,33,0,0,525.4323464200362,6.321807521786064,5.357706605417346,105.12000000000002,19.183069217,0,0,0.00547227996137,-4.48430690295,96.81523992065479,0,0,0.0,0,0.0,0,9.35958546900315,0,0,0,0,19.2624648688,0,4.893411602752475,0,25.862486722686715,32.5,1,0.0,7.822697123132171,7,0,24.42670973490755,20.5335454754,3.9720499701923924,15.5554606532,69.17124817571838,0,0.0,0,0,11.330436045216747,0.8484848484848485,0,7.822697123132171,0,0.0957183216078422,0,5.969305287951849,102.91920630840309,495.63800000000026,14.258388119240387,0,21.6249590433,1,0,25.0039429433,0.0,0.30537410358482336,0.0,4.579600000000004,0.0,0,0,0.0,1,0,0,83.97359667480276,0,0,0.30537410358482336,0,1,0.0,0.0,64.2082162293,0,0,0.0,23,0,0.0,6.4208216229260096,56.1805965122,0,0.0,0.0,0,0,21.596402859830533,0,11.7682344452,12.797794632559942,0.0,0,0.0,-0.7561177957113612,0,0,3.57402414363,0,0,0,0,0,21.143015948,0,47.50841824748289,0,-0.5000000000000001,0,0.0,1,1,0,23.143942746226834,0,0,1,0,0.0,0,0,0.0,0.0,201.7429607831818,0,445.23800000000017,0,0,0,0.0,0,1,0.0,27.749897912544487,198,0,11,0,0.0,37.62691260151464,0,28.26732713251149,8,22.49083005083045,6114784.12343,6.4208216229260096,0.0,1,0,1,0,0,0.0,0,0,0,11.4474843614,0,11.7682344452,0.0,9.26061011551,19.3595244666,0,0,0,129.6877000000001,1,0,9.91961107472251,1,0,19.76918536009445,0,17.4486088865,1.3333333333333333,0.0,0.7561177957113612,3.237607807258979,0.0,0,0,0.9583333333333334,0,0,0,0,495.3324895699999
LMGP01050024,120,0,13.79200241108402,1.7647058823529411,0,1,0,9,34,0,0,539.8474244571111,6.571807521786066,5.607706605417347,105.12000000000002,19.183069217,0,0,0.00540422440581,-4.4855317741,103.2360615435808,0,0,0.0,0,0.0,0,9.35958546900315,0,0,0,0,19.2624648688,0,4.893411602752475,0,25.862486722686715,33.5,1,0.0,7.822697123132171,7,0,24.619092627599244,20.5335454754,4.148826665489029,16.0554606532,69.17124817571838,0,0.0,0,0,11.683989435810021,0.8235294117647058,0,7.822697123132171,0,0.08474799825659561,0,5.969305287951849,109.3400279313291,509.66500000000025,14.758388119240387,0,21.642420859,1,0,25.7110497245,0.0,0.30537410358482336,0.0,4.969700000000004,0.0,0,0,0.0,1,0,0,90.39441829772878,0,0,0.30537410358482336,0,1,0.0,0.0,70.6290378522,0,0,0.0,24,0,0.0,6.4208216229260096,57.6631346965,0,0.0,0.0,0,0,22.303509641017083,0,11.7853966478,13.297794632559942,0.0,0,0.0,-0.7561177957113612,0,0,3.549351625,0,0,0,0,0,21.143015948,0,47.50841824748289,0,-0.5000000000000001,0,0.0,1,1,0,23.143942746226834,0,0,1,0,0.0,0,0,0.0,0.0,208.1079028975784,0,457.2490000000002,0,0,0,0.0,0,1,0.0,27.749897912544487,204,0,12,0,0.0,37.62691260151464,0,28.26732713251149,8,23.197936832017,9983594.70034,6.4208216229260096,0.0,1,0,1,0,0,0.0,0,0,0,11.4474843614,0,11.7853966478,0.0,9.26061011551,19.3595244666,0,0,0,134.30470000000003,1,0,10.273164465315784,1,0,20.66856273033168,0,17.4486088865,1.2941176470588236,0.0,0.7561177957113612,3.414384502555616,0.0,0,0,0.96,0,0,0,0,509.3481396339999
LMGP01050026,132,0,13.79200241108402,1.7142857142857142,0,1,0,9,35,0,0,554.3086135319064,6.821807521786064,5.857706605417346,105.12000000000002,19.183069217,0,0,0.00534386937623,-4.48666028279,109.65688316650682,0,0,0.0,0,0.0,0,9.35958546900315,0,0,0,0,19.2624648688,0,4.893411602752475,0,25.862486722686715,34.5,1,0.0,7.822697123132171,7,0,26.376016663360446,20.5335454754,4.3256033607856645,16.5554606532,69.17124817571838,0,0.0,0,0,12.037542826403293,0.8,0,7.822697123132171,0,0.07431457311871012,0,5.969305287951849,115.76084955425512,523.6920000000002,15.258388119240385,0,21.6584736827,1,0,26.4181565057,0.0,0.30537410358482336,0.0,5.359800000000004,0.0,0,0,0.0,1,0,0,96.81523992065479,0,0,0.30537410358482336,0,1,0.0,0.0,77.0498594751,0,0,0.0,25,0,0.0,6.4208216229260096,59.1470818728,0,0.0,0.0,0,0,23.01061642220363,0,11.8007902732,13.79779463255994,0.0,0,0.0,-0.7561177957113612,0,0,3.52612482756,0,0,0,0,0,21.143015948,0,47.50841824748289,0,-0.5000000000000001,0,0.0,1,1,0,23.143942746226834,0,0,1,0,0.0,0,0,0.0,0.0,214.472845011975,0,469.2600000000002,0,0,0,0.0,0,1,0.0,27.749897912544487,210,0,13,0,0.0,37.62691260151464,0,28.26732713251149,8,23.905043613203546,16294046.7422,6.4208216229260096,0.0,1,0,1,0,0,0.0,0,0,0,11.4474843614,0,11.8007902732,0.0,9.26061011551,19.3595244666,0,0,0,138.92169999999996,1,0,10.626717855909057,1,0,21.572549916171315,0,17.4486088865,1.2571428571428571,0.0,0.7561177957113612,3.591161197852253,0.0,0,0,0.9615384615384616,0,0,0,0,523.3637896979999
