IDENTIFIER,Chi0v,fr_isocyan,EState_VSA6,fr_NH0,PEOE_VSA2,fr_bicyclic,fr_dihydropyridine,FractionCSP3,fr_C_O_noCOO,BCUT2D_LOGPLOW,fr_methoxy,fr_Ar_COO,fr_sulfonamd,NOCount,SlogP_VSA7,PEOE_VSA5,VSA_EState3,fr_diazo,VSA_EState2,SlogP_VSA12,PEOE_VSA3,MolMR,NumSaturatedCarbocycles,fr_COO,NumAliphaticRings,fr_barbitur,fr_benzodiazepine,fr_ester,PEOE_VSA6,qed,EState_VSA5,Chi0,SlogP_VSA3,fr_Al_OH_noTert,HeavyAtomCount,BCUT2D_CHGHI,Chi4v,fr_nitro_arom_nonortho,PEOE_VSA14,VSA_EState9,MinAbsEStateIndex,FpDensityMorgan3,VSA_EState7,fr_Ndealkylation1,PEOE_VSA10,EState_VSA7,Chi1v,LabuteASA,SlogP_VSA11,NumHeteroatoms,BCUT2D_MWLOW,BCUT2D_LOGPHI,SMR_VSA2,MolWt,Chi2n,VSA_EState6,EState_VSA11,fr_halogen,fr_sulfone,EState_VSA2,fr_priamide,fr_guanido,fr_imide,MinAbsPartialCharge,fr_N_O,fr_Al_COO,MaxAbsEStateIndex,PEOE_VSA8,SlogP_VSA10,fr_quatN,fr_ketone_Topliss,SMR_VSA9,VSA_EState1,Kappa2,fr_ether,fr_morpholine,HeavyAtomMolWt,SlogP_VSA9,NHOHCount,RingCount,Chi1,fr_oxazole,ExactMolWt,PEOE_VSA11,MinEStateIndex,fr_urea,Chi0n,fr_pyridine,fr_nitroso,SMR_VSA8,NumAliphaticCarbocycles,fr_allylic_oxid,BertzCT,SMR_VSA6,MaxPartialCharge,Chi3n,fr_alkyl_carbamate,fr_C_S,NumValenceElectrons,EState_VSA9,fr_benzene,Chi3v,fr_Al_OH,fr_furan,SlogP_VSA1,SMR_VSA1,NumAromaticHeterocycles,NumRotatableBonds,HallKierAlpha,fr_thiophene,fr_hdrzone,fr_aniline,Chi2v,Ipc,PEOE_VSA9,fr_HOCCN,fr_nitrile,FpDensityMorgan2,fr_Nhpyrrole,SlogP_VSA5,fr_epoxide,fr_thiazole,Chi4n,NumAromaticRings,fr_nitro,Kappa3,SMR_VSA10,fr_ArN,fr_imidazole,fr_amide,fr_aldehyde,VSA_EState5,FpDensityMorgan1,SlogP_VSA4,SlogP_VSA6,fr_COO2,EState_VSA1,fr_thiocyan,fr_oxime,fr_hdrzine,NumAromaticCarbocycles,VSA_EState8,fr_amidine,NumSaturatedRings,fr_sulfide,fr_phos_ester,BCUT2D_MRHI,fr_tetrazole,NumHDonors,fr_azo,fr_term_acetylene,EState_VSA10,fr_SH,TPSA,MinPartialCharge,EState_VSA8,Kappa1,SMR_VSA4,fr_NH2,PEOE_VSA1,SMR_VSA7,NumHAcceptors,fr_Ar_OH,EState_VSA4,SMR_VSA3,PEOE_VSA12,VSA_EState10,PEOE_VSA13,fr_prisulfonamd,SlogP_VSA2,fr_Ar_NH,NumRadicalElectrons,BalabanJ,PEOE_VSA4,fr_azide,fr_ketone,fr_phenol_noOrthoHbond,NumAliphaticHeterocycles,BCUT2D_CHGLO,MolLogP,fr_Imine,fr_aryl_methyl,fr_Ndealkylation2,fr_NH1,fr_piperdine,fr_lactam,fr_Ar_N,EState_VSA3,fr_C_O,fr_lactone,fr_para_hydroxylation,fr_alkyl_halide,fr_unbrch_alkane,NumSaturatedHeterocycles,BCUT2D_MRLOW,fr_nitro_arom,MaxAbsPartialCharge,Chi1n,fr_phos_acid,fr_isothiocyan,SMR_VSA5,MaxEStateIndex,SlogP_VSA8,VSA_EState4,fr_piperzine,PEOE_VSA7,fr_phenol,BCUT2D_MWHI
LMGP01050041,24.612150394390092,0,0.0,1,9.35958546900315,0,0,0.9629629629629629,1,-2.373237591534864,0,0,0,8,0.0,0.0,9.807641315713706,0,23.507502439967954,7.822697123132171,0.0,143.5386999999999,0,0,0,0,0,1,103.2360615435808,0.06481141672516687,83.47068109803816,27.12526328685639,23.143942746226834,1,36,2.163698974939914,4.502380056082301,0,5.969305287951849,1.256388108183212,0.005290095462053168,1.6666666666666667,19.478352328371923,1,25.862486722686715,21.143015948031568,15.758388119240385,220.83778712637164,0.0,9,10.035684678408332,2.3764041598436902,0.0,537.7190000000002,10.98027124650233,0.0,0.0,0,0,19.183069216977685,0,0,0,0.30537410358482336,0,0,11.814675314730994,6.4208216229260096,0.0,1,0,0.0,26.688413288194525,22.480839018725504,1,0,481.27100000000024,0.0,1,0,17.055460653201074,0,537.379439762,0.0,-4.48770333834661,0,23.717723203390175,0,0,0.0,0,0,568.81564275807,47.50841824748289,0.30537410358482336,6.107706605417346,0,0,216,9.260610115511867,0,7.071807521786064,1,0,4.893411602752475,37.62691260151464,0,26,-0.5000000000000001,0,0,0,12.391096216996566,26583994.857831113,27.749897912544487,0,0,1.2222222222222223,0,116.07770478943283,0,0,3.76793789314889,0,0,26.559861137173954,13.79200241108402,0,0,0,0,-0.38526346630209285,0.7777777777777778,0.0,0.0,0,20.53354547539339,0,0,0,0,1.9525215414263346,0,0,0,1,7.454016316166436,0,1,0,0,19.359524466596334,0,105.12000000000002,-0.7561177957113612,11.447484361402442,35.5,0.0,0,28.26732713251149,0.0,7,0,19.26246486877803,0.0,0.0,0.0,7.822697123132171,0,69.17124817571838,0,0,3.5043035131686127,0.0,0,0,0,0,-2.2726856850999773,5.749900000000006,0,0,0,0,0,0,0,17.448608886533208,1,0,0,0,14,0,-0.8700003391229219,0,0.7561177957113612,14.29779463255994,1,0,122.18167117718113,11.814675314730994,0.0,0.0,0,6.4208216229260096,0,31.20469498802524
LMGP01050045,25.319257175576638,0,0.0,1,9.35958546900315,0,0,0.9642857142857143,1,-2.3732376708485563,0,0,0,8,0.0,0.0,9.81553093974227,0,23.527688663981507,7.822697123132171,0.0,148.15569999999988,0,0,0,0,0,1,109.65688316650682,0.056568920833538226,89.89150272096417,27.832370068042938,23.143942746226834,1,37,2.1637881508099883,4.679156751378938,0,5.969305287951849,1.2570878451983338,0.0052419795078524345,1.6216216216216217,20.92610761406078,1,25.862486722686715,21.143015948031568,16.258388119240383,227.20272924076824,0.0,9,10.033524915374343,2.3764430661998075,0.0,551.7460000000002,11.333824637095603,0.0,0.0,0,0,19.183069216977685,0,0,0,0.30537410358482336,0,0,11.82726318321172,6.4208216229260096,0.0,1,0,0.0,26.70676729273175,23.393148788927334,1,0,493.28200000000027,0.0,1,0,17.555460653201074,0,551.3950898259999,0.0,-4.488670267998155,0,24.42482998457672,0,0,0.0,0,0,583.3681962294005,47.50841824748289,0.30537410358482336,6.357706605417345,0,0,222,9.260610115511867,0,7.321807521786064,1,0,4.893411602752475,37.62691260151464,0,27,-0.5000000000000001,0,0,0,12.744649607589839,43358188.59894825,27.749897912544487,0,0,1.1891891891891893,0,122.49852641235884,0,0,3.944714588445527,0,0,28.330577777777776,13.79200241108402,0,0,0,0,-0.38471175808417946,0.7567567567567568,0.0,0.0,0,20.53354547539339,0,0,0,0,1.9570849579250889,0,0,0,1,7.45401719366871,0,1,0,0,19.359524466596334,0,105.12000000000002,-0.7561177957113612,11.447484361402442,36.5,0.0,0,28.26732713251149,0.0,7,0,19.26246486877803,0.0,0.0,0.0,7.822697123132171,0,69.17124817571838,0,0,3.483832266023649,0.0,0,0,0,0,-2.2726857796700837,6.140000000000007,0,0,0,0,0,0,0,17.448608886533208,1,0,0,0,15,0,-0.8700003404177986,0,0.7561177957113612,14.79779463255994,1,0,128.60249280010714,11.82726318321172,0.0,0.0,0,6.4208216229260096,0,31.204695078088506
LMGP06050006,25.158912819401852,0,0.0,0,13.842031507495456,0,0,0.6896551724137931,1,-2.6362356989032727,0,0,0,12,0.0,0.0,58.536288896373904,0,21.67037186836152,7.822697123132171,4.565048284931329,156.0540999999999,1,0,1,0,0,1,68.37354130021369,0.04277879159533804,19.26246486877803,31.382258120807602,23.143942746226834,6,42,2.509274143881417,4.898908811634367,0,13.79200241108402,-5.000468764710978,0.11226830572238611,1.7380952380952381,12.49692867073199,0,49.33464667875103,12.152040213667762,15.99013824079926,247.80479167707983,0.0,13,9.849470644072314,2.4655775140218044,0.0,620.6730000000006,10.104880702739775,0.0,0.0,0,0,6.4208216229260096,0,0,0,0.4628227784284036,0,0,12.12314307507471,6.4208216229260096,0.0,0,0,0.0,26.27520605446227,21.905610843222416,1,0,571.2810000000003,0.0,7,1,19.996906899019788,0,620.2961636379999,0.0,-5.000468764710978,0,24.264485628401935,0,0,0.0,1,8,889.0455330970475,13.213763929025836,0.47223522198521084,6.403743549827459,0,0,242,4.736862953800049,0,7.388949057946316,6,0,0.0,58.67651871802354,0,21,-1.7000000000000002,0,0,0,11.51100964722142,651898630.9685587,6.606881964512918,0,0,1.2142857142857142,0,71.13195342895074,0,0,3.9205523437610594,0,0,16.229576735530518,13.79200241108402,0,0,0,0,-0.5663411340826927,0.7380952380952381,0.0,48.60816085467105,0,69.73353105434796,0,0,0,0,0.8935699644195481,0,1,0,1,7.469672354898762,0,7,0,0,44.89216144079985,0,203.44,-0.4628227784284036,52.42735216411754,38.32481389578164,0.0,0,40.26943892559675,48.60816085467105,11,0,25.683286491704038,0.0,0.0,0.0,0.0,0,97.44340990301252,0,0,2.148345324661806,0.0,0,0,0,0,-2.4105566497056046,2.3565,0,0,0,0,0,0,0,12.841643245852019,1,0,0,0,3,0,-0.219710595349232,0,0.47223522198521084,14.494693125788926,1,0,113.85971814318884,12.12314307507471,0.0,0.0,0,44.94575136048208,0,31.204696802346188
LMGP01010573,35.673821535242965,0,0.0,1,14.154122653074973,0,0,0.9523809523809523,2,-2.3740860359829714,0,0,0,9,0.0,0.0,0.0,0,37.45368418795187,7.822697123132171,0.0,213.10689999999903,0,0,0,0,0,2,180.78883659545758,0.02625389871067126,141.25807570437226,38.60210849265766,32.675342884098704,0,52,2.2140040285008715,6.913607323998546,0,11.938610575903699,1.1805768418419649,0.025757273032669836,1.2307692307692308,34.03112726203706,1,19.75852033493841,21.143015948031568,23.20479995213242,320.7927524196753,0.0,10,10.038115850116714,2.379990521784639,0.0,762.1070000000001,16.07740310281746,0.0,0.0,0,0,32.024712462829704,0,0,0,0.3057658044200656,0,0,12.648883139482635,12.841643245852019,0.0,1,0,0.0,33.873878906719035,35.696080195708966,2,0,677.4350000000003,0.0,0,0,24.987312305779206,0,761.593455278,6.103966387748303,-4.612671293894903,0,34.779394344243045,0,0,0.0,0,0,865.4121336176894,47.50841824748289,0.3057658044200656,9.627284923959614,0,0,310,18.521220231023733,0,10.591385840328336,0,0,4.893411602752475,42.0517853445458,0,40,-0.9900000000000002,0,0,0,17.488228073311692,59011811418.10994,27.749897912544487,0,0,0.8653846153846154,0,206.47212308716163,0,0,6.184973765786783,0,0,38.72574308158354,19.761307699035868,0,0,0,0,-0.8207859374479476,0.5192307692307693,0.0,0.0,0,26.502850763345243,0,0,0,0,4.2537409611202435,0,0,0,1,7.454036443267,0,0,0,0,19.047534255827447,0,111.19000000000001,-0.7561173385699724,13.847474399381248,51.010000000000005,0.0,0,27.897662691470835,0.0,8,0,32.10410811463005,0.0,0.0,0.0,7.822697123132171,0,70.03402606882952,0,0,4.32843623124626,0.0,0,0,0,0,-2.2793892777881553,11.39199999999999,0,0,0,0,0,0,0,17.448608886533208,2,0,0,0,24,0,-0.8700003577194342,0,0.7561173385699724,21.744206465451967,1,0,212.57608947490994,12.648883139482635,0.0,0.0,0,12.841643245852019,0,31.204696455517723
LMGP01010976,38.50224865998915,0,0.0,1,14.154122653074971,0,0,0.9565217391304348,2,-2.3740863444153555,0,0,0,9,0.0,0.0,0.0,0,37.587415094913204,7.822697123132171,0.0,231.57489999999888,0,0,0,0,0,2,206.47212308716163,0.02585811805727646,166.9413621960763,41.43053561740385,32.675342884098704,0,56,2.2143637508501084,7.620714105185092,0,11.938610575903699,1.183719632500278,0.025514733503770204,1.1428571428571428,39.763713323496134,1,19.75852033493841,21.143015948031568,25.204799952132422,346.2525208772615,0.0,10,10.035552311471863,2.3801847868770762,0.0,818.214999999999,17.491616665190552,0.0,0.0,0,0,32.024712462829704,0,0,0,0.3057658044200656,0,0,12.691746825421564,12.841643245852019,0.0,1,0,0.0,33.97720399063231,39.46992698869442,2,0,725.4789999999997,0.0,0,0,26.987312305779206,0,817.6560555339998,6.103966387748303,-4.617196237980698,0,37.60782146898923,0,0,0.0,0,0,927.332636248759,47.50841824748289,0.3057658044200656,10.627284923959623,0,0,334,18.521220231023733,0,11.591385840328341,0,0,4.893411602752475,42.051785344545806,0,44,-0.99,0,0,0,18.902441635684788,412155995487.5378,27.749897912544487,0,0,0.8035714285714286,0,232.1554095788657,0,0,6.89208054697333,0,0,42.61139780570916,19.761307699035868,0,0,0,0,-0.8164642485755711,0.48214285714285715,0.0,0.0,0,26.502850763345236,0,0,0,0,4.276634429255877,0,0,0,1,7.454040004242618,0,0,0,0,19.047534255827447,0,111.19,-0.7561173385699724,13.847474399381248,55.010000000000005,0.0,0,27.897662691470835,0.0,8,0,32.10410811463005,0.0,0.0,0.0,7.822697123132171,0,70.03402606882952,0,0,4.262724141963313,0.0,0,0,0,0,-2.279389591581974,12.952399999999983,0,0,0,0,0,0,0,17.448608886533208,2,0,0,0,28,0,-0.8700003628577707,0,0.7561173385699724,23.744206465451978,1,0,238.259375966614,12.691746825421564,0.0,0.0,0,12.841643245852019,0,31.20469681651799
LMGP02011213,32.84292351396872,0,0.0,0,18.636568691567277,0,0,0.9487179487179487,2,-2.293024238565349,0,0,0,9,0.0,0.0,0.0,0,34.75439907405121,7.822697123132171,4.565048284931329,201.48069999999925,0,0,0,0,0,2,180.78883659545758,0.0361327081565195,141.25807570437226,36.10210849265766,32.675342884098704,0,49,2.255128561337091,6.694769436461866,0,19.761307699035868,-4.363134256857867,0.057922087814731515,1.2448979591836735,34.092280274615334,0,6.606881964512918,0.0,22.00745713257441,301.0680116166994,0.0,10,10.04092152257142,2.4259576669349454,0.0,720.0259999999993,13.873489531640248,0.0,0.0,0,0,38.56946886874228,0,0,0,0.46162817343596224,0,0,12.534771544094617,19.386399651764595,0.0,0,0,0.0,32.7088647351576,36.78925643320408,2,0,641.4019999999999,0.0,3,0,23.840865696372482,0,719.5465050859999,6.103966387748303,-4.363134256857867,0,31.948496322968804,0,0,0.0,0,0,784.1273661870074,26.36540229945133,0.47185923902497584,8.993089366488894,0,0,292,24.25488770818592,0,9.977311879855572,0,0,5.733667477162185,37.568754486851184,0,39,-0.99,0,0,0,15.326998855191162,20847197335.0473,13.213763929025836,0,0,0.8775510204081632,0,206.47212308716163,0,0,5.929453617439502,0,0,36.601394317053895,19.761307699035868,0,0,0,0,-0.8150644552270054,0.5306122448979592,0.0,0.0,0,26.502850763345236,0,0,0,0,3.7578393308775078,0,0,0,1,7.469352586894278,0,2,0,0,19.047534255827447,0,134.38,-0.46162817343596224,13.847474399381248,48.01,5.733667477162185,1,20.10080498751476,0.0,8,0,32.10410811463005,0.0,0.0,0.0,0.0,0,49.3013908658558,0,0,4.142512015692688,0.0,0,0,0,0,-2.194926744237856,11.276499999999992,0,0,0,0,0,0,0,6.4208216229260096,2,0,0,0,24,0,-0.16092385343564505,0,0.47185923902497584,20.512012017564075,1,0,212.57608947490994,12.534771544094617,0.0,5.337037519605447,0,12.841643245852019,0,31.204696175485644
LMSP03010002,30.264380036241285,0,6.076020106833881,1,9.35958546900315,0,0,0.9142857142857143,1,-2.4546401801864306,0,0,0,8,0.0,0.0,13.63602114714773,0,25.012625434551097,7.822697123132171,0.0,182.4093999999995,0,0,0,0,0,0,141.57430382571724,0.033007266135346054,96.31232434389018,32.945254243165294,18.407079792426785,1,44,2.226848188791775,5.755292731972963,0,0.0,1.2617336671296484,0.0013119805924746153,1.7045454545454546,28.211046780774417,1,13.151638370425493,27.21903605486545,19.511370755195,271.5040379634613,0.0,9,10.046750469958994,2.379174367660566,0.0,646.9349999999997,13.585522156376584,-0.8760052913114837,0.0,0,0,19.120943658377342,0,0,0,0.267653377303556,0,0,12.678444916936378,6.4208216229260096,0.0,1,0,0.0,23.003224935511632,28.461773702787134,0,0,575.3670000000002,0.0,2,0,21.004149058184815,0,646.504974622,0.0,-4.566509587574141,0,29.36995284524137,0,0,0.0,0,1,743.2204908009853,40.90153628296998,0.267653377303556,7.99734856133527,0,0,262,9.047494323423635,0,8.961449477703987,1,0,10.210200206758806,32.89004964771459,0,32,-0.76,0,0,0,14.996347126870821,1230106788.554391,39.89570512944075,0,0,1.2272727272727273,0,155.10555010375353,0,0,5.032324595212784,0,0,29.923667667793982,13.729876852483677,0,0,1,0,-0.20273929112595113,0.7727272727272727,0.0,12.152040213667762,0,19.96850434002843,0,0,0,0,4.592981506211802,0,0,0,1,7.454036172427437,0,2,0,0,19.35952446659633,0,107.92000000000002,-0.756118003205017,19.16426300338758,43.24,0.0,0,28.84725278271777,12.152040213667762,6,0,38.524929737556064,5.316788604006331,5.907179729351506,0.0,7.822697123132171,0,68.54408148175307,0,0,4.574699217937816,0.0,0,0,0,0,-2.290971973651896,8.218100000000007,0,0,0,1,0,0,0,17.448608886533208,1,0,0,0,17,0,-0.870000258437211,0,0.756118003205017,18.050777268514555,1,0,167.2513573206498,12.678444916936378,0.0,0.0,0,19.26246486877803,0,31.20469569061615
LMGP01050018,22.49083005083045,0,0.0,1,9.35958546900315,0,0,0.9583333333333334,1,-2.3732373532357913,0,0,0,8,0.0,0.0,9.779328276746927,0,23.434371330056663,7.822697123132171,0.0,129.6877000000001,0,0,0,0,0,1,83.97359667480276,0.0957183216078422,64.20821622926012,25.00394294329675,23.143942746226834,1,33,2.1634342017211154,3.9720499701923924,0,5.969305287951849,1.2540300741435373,0.005472279961367121,1.8181818181818181,15.16767202798006,1,25.862486722686715,21.143015948031568,14.258388119240387,201.7429607831818,0.0,9,10.04453907361772,2.376289427902402,0.0,495.63800000000026,9.91961107472251,0.0,0.0,0,0,19.183069216977685,0,0,0,0.30537410358482336,0,0,11.768234445219079,6.4208216229260096,0.0,1,0,0.0,26.622897583654623,19.76918536009445,1,0,445.23800000000017,0.0,1,0,15.555460653201072,0,495.3324895699999,0.0,-4.4843069029482985,0,21.596402859830533,0,0,0.0,0,0,525.4323464200362,47.50841824748289,0.30537410358482336,5.357706605417346,0,0,198,9.260610115511867,0,6.321807521786064,1,0,4.893411602752475,37.62691260151464,0,23,-0.5000000000000001,0,0,0,11.330436045216747,6114784.123425411,27.749897912544487,0,0,1.3333333333333333,0,96.81523992065479,0,0,3.237607807258979,0,0,24.42670973490755,13.79200241108402,0,0,0,0,-0.3873843348288524,0.8484848484848485,0.0,0.0,0,20.53354547539339,0,0,0,0,1.9346405978025953,0,0,0,1,7.454013687256761,0,1,0,0,19.359524466596334,0,105.12000000000002,-0.7561177957113612,11.447484361402442,32.5,0.0,0,28.26732713251149,0.0,7,0,19.26246486877803,0.0,0.0,0.0,7.822697123132171,0,69.17124817571838,0,0,3.5740241436324562,0.0,0,0,0,0,-2.2726853828730045,4.579600000000004,0,0,0,0,0,0,0,17.448608886533208,1,0,0,0,11,0,-0.870000335235422,0,0.7561177957113612,12.797794632559942,1,0,102.91920630840309,11.768234445219079,0.0,0.0,0,6.4208216229260096,0,31.20469471789841
LMGP01050024,23.197936832017,0,0.0,1,9.35958546900315,0,0,0.96,1,-2.3732374328041983,0,0,0,8,0.0,0.0,9.789648571531508,0,23.461159267768,7.822697123132171,0.0,134.30470000000003,0,0,0,0,0,1,90.39441829772878,0.08474799825659561,70.62903785218613,25.711049724483296,23.143942746226834,1,34,2.1635221778425193,4.148826665489029,0,5.969305287951849,1.2548628161569906,0.005404224405811675,1.7647058823529411,16.598313732444637,1,25.862486722686715,21.143015948031568,14.758388119240387,208.1079028975784,0.0,9,10.0411047191532,2.376327350777451,0.0,509.66500000000025,10.273164465315784,0.0,0.0,0,0,19.183069216977685,0,0,0,0.30537410358482336,0,0,11.785396647790739,6.4208216229260096,0.0,1,0,0.0,26.646719132796914,20.66856273033168,1,0,457.2490000000002,0.0,1,0,16.055460653201074,0,509.3481396339999,0.0,-4.48553177410357,0,22.303509641017083,0,0,0.0,0,0,539.8474244571111,47.50841824748289,0.30537410358482336,5.607706605417347,0,0,204,9.260610115511867,0,6.571807521786066,1,0,4.893411602752475,37.62691260151464,0,24,-0.5000000000000001,0,0,0,11.683989435810021,9983594.700342279,27.749897912544487,0,0,1.2941176470588236,0,103.2360615435808,0,0,3.414384502555616,0,0,24.619092627599244,13.79200241108402,0,0,0,0,-0.3865846123663379,0.8235294117647058,0.0,0.0,0,20.53354547539339,0,0,0,0,1.9414366472238485,0,0,0,1,7.45401456296108,0,1,0,0,19.359524466596334,0,105.12000000000002,-0.7561177957113612,11.447484361402442,33.5,0.0,0,28.26732713251149,0.0,7,0,19.26246486877803,0.0,0.0,0.0,7.822697123132171,0,69.17124817571838,0,0,3.549351624998316,0.0,0,0,0,0,-2.2726854926027573,4.969700000000004,0,0,0,0,0,0,0,17.448608886533208,1,0,0,0,12,0,-0.8700003365317334,0,0.7561177957113612,13.297794632559942,1,0,109.3400279313291,11.785396647790739,0.0,0.0,0,6.4208216229260096,0,31.20469480793018
LMGP01050026,23.905043613203546,0,0.0,1,9.35958546900315,0,0,0.9615384615384616,1,-2.3732375121375626,0,0,0,8,0.0,0.0,9.799046821189497,0,23.485420948712566,7.822697123132171,0.0,138.92169999999996,0,0,0,0,0,1,96.81523992065479,0.07431457311871012,77.04985947511214,26.41815650566984,23.143942746226834,1,35,2.163610363636117,4.3256033607856645,0,5.969305287951849,1.2556475727756289,0.005343869376225996,1.7142857142857142,18.035507456724968,1,25.862486722686715,21.143015948031568,15.258388119240385,214.472845011975,0.0,9,10.038185364091623,2.376365590959827,0.0,523.6920000000002,10.626717855909057,0.0,0.0,0,0,19.183069216977685,0,0,0,0.30537410358482336,0,0,11.800790273179746,6.4208216229260096,0.0,1,0,0.0,26.66847029099611,21.572549916171315,1,0,469.2600000000002,0.0,1,0,16.555460653201074,0,523.3637896979999,0.0,-4.486660282791054,0,23.01061642220363,0,0,0.0,0,0,554.3086135319064,47.50841824748289,0.30537410358482336,5.857706605417346,0,0,210,9.260610115511867,0,6.821807521786064,1,0,4.893411602752475,37.62691260151464,0,25,-0.5000000000000001,0,0,0,12.037542826403293,16294046.74216055,27.749897912544487,0,0,1.2571428571428571,0,109.65688316650682,0,0,3.591161197852253,0,0,26.376016663360446,13.79200241108402,0,0,0,0,-0.3858833151444714,0.8,0.0,0.0,0,20.53354547539339,0,0,0,0,1.9473457803012642,0,0,0,1,7.454015439264106,0,1,0,0,19.359524466596334,0,105.12000000000002,-0.7561177957113612,11.447484361402442,34.5,0.0,0,28.26732713251149,0.0,7,0,19.26246486877803,0.0,0.0,0.0,7.822697123132171,0,69.17124817571838,0,0,3.5261248275564494,0.0,0,0,0,0,-2.272685582890117,5.359800000000004,0,0,0,0,0,0,0,17.448608886533208,1,0,0,0,13,0,-0.8700003378275677,0,0.7561177957113612,13.79779463255994,1,0,115.76084955425512,11.800790273179746,0.0,0.0,0,6.4208216229260096,0,31.2046948979725
